"date","case_delay","Rt","lower","upper"
400,1,1.98196044903407,0.12,8.72
401,0,0,0,3
402,3,4.15989411253902,1.04,10.78
403,0,0,0,2.54
404,3,3.85732771991418,0.96,10
405,3,3.54635398146306,0.89,9.19
406,1,1.06711358382555,0.07,4.69
407,2,1.77210867225591,0.3,5.47
408,4,2.90929478862176,0.91,6.75
409,1,0.629707604537823,0.04,2.77
410,2,1.11578386512414,0.19,3.44
411,4,2.0110943652353,0.63,4.67
412,5,2.38006462828437,0.86,5.11
413,3,1.37304004674998,0.35,3.55
414,4,1.70363390724433,0.53,3.95
415,2,0.767513945652067,0.13,2.36
416,5,1.72876408135716,0.63,3.71
417,12,3.81723085756079,2.05,6.4
418,2,0.603821825239922,0.11,1.86
419,8,2.21066324433791,1.02,4.11
420,7,1.69059345371059,0.73,3.26
421,4,0.859251836315082,0.27,1.99
422,7,1.34362800291175,0.58,2.59
423,10,1.76506253214825,0.89,3.09
424,12,2.02461667816175,1.09,3.39
425,11,1.79082155339401,0.94,3.06
426,13,1.99419875388391,1.1,3.28
427,8,1.11848741718538,0.52,2.08
428,11,1.37357180651594,0.72,2.35
429,12,1.34452021486968,0.73,2.25
430,15,1.55463403564165,0.9,2.47
431,18,1.7689077470076,1.08,2.71
432,15,1.41322289030221,0.82,2.25
433,12,1.07247701965757,0.58,1.79
434,23,1.91723116405625,1.24,2.81
435,19,1.48039083056597,0.92,2.24
436,26,1.90203337262002,1.27,2.72
437,14,0.953559215458556,0.54,1.54
438,24,1.51251500582727,0.99,2.2
439,31,1.80914866384262,1.25,2.52
440,24,1.32022848023846,0.87,1.92
441,28,1.45044329643526,0.98,2.05
442,29,1.40577873367718,0.96,1.98
443,22,1.00095480709885,0.64,1.47
444,31,1.32678956195124,0.92,1.85
445,32,1.301901351963,0.91,1.8
446,28,1.09989515628116,0.75,1.55
447,37,1.40915625338274,1.01,1.91
448,36,1.33188469971649,0.95,1.81
449,32,1.14896015540953,0.8,1.59
450,41,1.41518985975126,1.03,1.89
451,37,1.22333223989323,0.88,1.66
452,35,1.10911511211313,0.79,1.51
453,45,1.36519539737706,1.01,1.8
454,41,1.19826210997589,0.87,1.6
455,50,1.41513352625233,1.06,1.84
456,43,1.17726477240444,0.86,1.56
457,29,0.76576769410343,0.52,1.07
458,56,1.41909317525497,1.08,1.82
459,44,1.08121970367513,0.8,1.43
460,35,0.845306737781356,0.6,1.15
